** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,1
small-town.txt,44892,1000,2
town.txt,451617,10000,14
large-town.txt,2255053,50000,82
city.txt,4511688,100000,150
large-city.txt,22554540,500000,1014
metropolis.txt,45107513,1000000,2708
capital.txt,90209834,2000000,7135
megalopolis.txt,227564229,5000000,22902
Hashtable:
village.txt,4561,100,1
small-town.txt,44892,1000,3
town.txt,451617,10000,34
large-town.txt,2255053,50000,154
city.txt,4511688,100000,380
large-city.txt,22554540,500000,1172
metropolis.txt,45107513,1000000,2692
capital.txt,90209834,2000000,4267
megalopolis.txt,227564229,5000000,11626
